'-----BSD
Date :2018/7/19 	Time :16:11:07 
MARS2000		2.9k
Applied Rules : BV RULES

Label				Value			
Database				D:\Notes\Gitee\Tool\FID Mark 2.ma2			
Section				Midship section			
x(m)				155			

Ship name				<Name>			
Builder				<Buidler>			
Service notation				FPSO			
Navigation notation				Unrestricted navigation			
Scantling length				310.000			
Breadth moulded				58.000			
Block coefficient				0.850			
Scantling draught				22.00			
Ballast draught				10.00			

'-----Geometric Properties
------------------------------------
Geo Prop for: "Midship section"
------------------------------------
				GROSS	NET
Total Area (m2)				10.62428	9.58178			
Total Effective Area (m2)				10.55164	9.52095			
Moment of inertia /GY axis (m4)				1465.0740	1320.4470			
Moment of inertia /GZ axis (m4)				4160.6680	3742.3780			
Neutral axis (m)				13.560	13.557			

'-----Environment
------------------------------------
Options for: "Midship section"
------------------------------------

Wave BM		
Acceler.		Standard

------------------------------------
Vertical Bending Moment
------------------------------------
	Hogging	Sagging
Rule wave	9676814.000	-10216080.000	
Values used in calculation:	
Wave	9676814.000	-10216080.000	
S.W.B.M	7500000.000	0.000	
Total IACS	17176810.000	-10216080.000	
Total a	17854190.000	-10931210.000	
Total b	14747930.000	-7651844.000	
Total c	11641680.000	-4372482.000	
Total d	10088550.000	-2732801.000	

------------------------------------
Relative Motions
------------------------------------
	Scantling	Ballast
h1 Rule	 11.1972 	 11.1972 
h2 Rule	 15.7486 	 15.7486 

------------------------------------
Accelerations
------------------------------------
			upright condition			case c (with CFA)			case d (with CFA)
Comp	Draught (m)		x (m/s2)	y (m/s2)	z (m/s2)	x (m/s2)	y (m/s2)	z (m/s2)	x (m/s2)	y (m/s2)	z (m/s2)
 1 	10.000	Ballast	1.288	0.000	2.720	0.000	3.211	0.841	0.000	4.586	1.202
 2 	10.000	Ballast	1.291	0.000	2.720	0.000	3.217	1.478	0.000	4.596	2.111
 3 	10.000	Ballast	1.108	0.000	2.720	0.000	2.734	1.669	0.000	3.906	2.384

'-----SLongi.
----------------------------------------------------------------
Longitudinal stiffeners for: "Midship section"
----------------------------------------------------------------
																						GROSS				NET
Panel	Stiffener	Spacing	Span	WGross	WNet	WRulGross	WLoadGross	WRulNet	WLoadNet	Ps	Pw	SigX1	ShrAGross	ShrANet	ShrALoadNet	tmini0	tweb mini Prop	tweb mini	tflange mini Prop	tFlange Mini 		HGS Bend. Act	HGS Bend. Rul	Sig. Comb. Act	Sig. Comb. Rul	EtaBuck.Over.Act	EtaBuck.Over.Rul	EtaBuck.Sti.Act	EtaBuck.Sti.Rul				bflange mini prop		type	tw_grs	hw_grs	tFl_grs	hFl_grs	tot_corr_stiff	tot_corr_attplat	twebnetactual	tflangenetactual		TypeWRule	Max(Ash_Load & Ash_Test)	CaseAshr
 1	 21	0.910	5.120	4457.183	3969.694	4593.696	4593.696	4091.277	4091.277	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.039	1.000	0.907	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 22	0.910	5.120	4457.183	3969.694	4593.692	4593.692	4091.273	4091.273	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.036	1.000	0.907	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 23	0.910	5.120	4457.183	3969.694	4593.692	4593.692	4091.273	4091.273	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.037	1.000	0.921	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 24	0.910	5.120	4457.183	3969.694	4593.692	4593.692	4091.273	4091.273	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.037	1.000	0.921	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 25	0.910	5.120	4457.183	3969.694	4593.692	4593.692	4091.273	4091.273	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.038	1.000	0.921	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 26	0.910	5.120	4457.183	3969.694	4593.692	4593.692	4091.273	4091.273	221.216	56.295	183.312	75.600	63.175	52.479	9.235	9.752	9.752	10.516	10.516		158.98	224.36			0.038	1.000	0.921	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	52.479	SEABAL 3 b	
 1	 27	0.560	5.120	4287.876	3830.390	2924.142	2924.142	2612.156	2612.156	221.216	56.295	183.312	75.600	63.175	33.506	8.885	9.752	9.752	10.516	10.516		158.98	224.36			0.036	1.000	0.790	1.000				157.938		t-bar	12.00	630.00	23.00	220.00	2.00	1.50	10.00	21.00		SEA a1	33.506	SEABAL 3 b	
 1	 28	0.000	5.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		149.85	224.36										0.000		angle	13.00	400.00	18.00	100.00	1.00	1.50	12.00	17.00			0.000	SEABAL 3 b	
 1	 29	0.775	5.120	3714.297	3266.230	3193.155	3193.155	2807.955	2807.955	191.050	89.975	143.841	74.400	62.175	44.207	9.100	9.598	9.598	9.552	9.552		123.81	224.36			0.037	1.000	0.728	1.000				155.438		t-bar	12.00	620.00	20.00	200.00	2.00	1.50	10.00	18.00		SEA c+	44.207	SEABAL 3 b	
 1	 30	0.950	5.120	3767.570	3309.158	3598.083	3598.083	3160.293	3160.293	181.497	93.394	135.466	74.400	62.175	52.755	9.275	9.598	9.598	9.552	9.552		112.67	224.36			0.036	1.000	0.739	1.000				155.438		t-bar	12.00	620.00	20.00	200.00	2.00	1.50	10.00	18.00		SEA c+	52.755	SEABAL 3 b	
