'-----BSD
Date :2018/7/19 	Time :16:11:07 
MARS2000		2.9k
Applied Rules : BV RULES

Label				Value			
Database				D:\Notes\Gitee\Tool\FID Mark 2.ma2			
Section				Midship section			
x(m)				155			

Ship name				<Name>			
Builder				<Buidler>			
Service notation				FPSO			
Navigation notation				Unrestricted navigation			
Scantling length				310.000			
Breadth moulded				58.000			
Block coefficient				0.850			
Scantling draught				22.00			
Ballast draught				10.00			

'-----Geometric Properties
------------------------------------
Geo Prop for: "Midship section"
------------------------------------
				GROSS	NET
Total Area (m2)				10.62428	9.58178			
Total Effective Area (m2)				10.55164	9.52095			
Moment of inertia /GY axis (m4)				1465.0740	1320.4470			
Moment of inertia /GZ axis (m4)				4160.6680	3742.3780			
Neutral axis (m)				13.560	13.557			

'-----Environment
------------------------------------
Options for: "Midship section"
------------------------------------

Wave BM		
Acceler.		Standard

------------------------------------
Vertical Bending Moment
------------------------------------
	Hogging	Sagging
Rule wave	9676814.000	-10216080.000	
Values used in calculation:	
Wave	9676814.000	-10216080.000	
S.W.B.M	7500000.000	0.000	
Total IACS	17176810.000	-10216080.000	
Total a	17854190.000	-10931210.000	
Total b	14747930.000	-7651844.000	
Total c	11641680.000	-4372482.000	
Total d	10088550.000	-2732801.000	

------------------------------------
Relative Motions
------------------------------------
	Scantling	Ballast
h1 Rule	 11.1972 	 11.1972 
h2 Rule	 15.7486 	 15.7486 

------------------------------------
Accelerations
------------------------------------
			upright condition			case c (with CFA)			case d (with CFA)
Comp	Draught (m)		x (m/s2)	y (m/s2)	z (m/s2)	x (m/s2)	y (m/s2)	z (m/s2)	x (m/s2)	y (m/s2)	z (m/s2)
 1 	10.000	Ballast	1.288	0.000	2.720	0.000	3.211	0.841	0.000	4.586	1.202
 2 	10.000	Ballast	1.291	0.000	2.720	0.000	3.217	1.478	0.000	4.596	2.111
 3 	10.000	Ballast	1.108	0.000	2.720	0.000	2.734	1.669	0.000	3.906	2.384

'-----SLongi.
----------------------------------------------------------------
Longitudinal stiffeners for: "Midship section"
----------------------------------------------------------------
																						GROSS				NET
Panel	Stiffener	Spacing	Span	WGross	WNet	WRulGross	WLoadGross	WRulNet	WLoadNet	Ps	Pw	SigX1	ShrAGross	ShrANet	ShrALoadNet	tmini0	tweb mini Prop	tweb mini	tflange mini Prop	tFlange Mini 		HGS Bend. Act	HGS Bend. Rul	Sig. Comb. Act	Sig. Comb. Rul	EtaBuck.Over.Act	EtaBuck.Over.Rul	EtaBuck.Sti.Act	EtaBuck.Sti.Rul				bflange mini prop		type	tw_grs	hw_grs	tFl_grs	hFl_grs	tot_corr_stiff	tot_corr_attplat	twebnetactual	tflangenetactual		TypeWRule	Max(Ash_Load & Ash_Test)	CaseAshr
3	16	0.920	5.120	3	SEABALL		
3	17	0.920	5.120	3	SEABALL		
3	18	0.920	5.120	3	SEABALL		
3	19	0.920	5.120	3	SEABALL		
3	20	0.920	5.120	3	SEABALL		
3	21	0.920	5.120	3	SEABALL		
3	22	0.920	5.120	3	SEABALL		
3	23	0.920	5.120	3	SEABALL		
3	24	0.920	5.120	3	SEABALL		
3	25	0.920	5.120	3	SEABALL		
3	26	0.920	5.120	3	SEABALL		
3	27	0.920	5.120	3	SEABALL		
3	28	0.920	5.120	3	SEABALL		
3	29	0.920	5.120	3	SEABALL		
3	30	0.920	5.120	3	SEABALL		
3	31	0.614	5.120	3	SEABALL		

'-----Longi."BALL 3"
----------------------------------------------------------------
Longitudinal stiffeners for: "Midship section"
BALL  3 At T_bal
----------------------------------------------------------------
Panel	Stiffener	Spacing	Span	Comp.	Load	ps	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	
1	2	0.910	5.120	3	BALL		
1	3	0.910	5.120	3	BALL		
1	4	0.910	5.120	3	BALL		
1	5	0.910	5.120	3	BALL		
1	6	0.910	5.120	3	BALL		
1	7	0.910	5.120	3	BALL		
1	8	0.910	5.120	3	BALL		
1	9	0.910	5.120	3	BALL		
1	10	0.910	5.120	3	BALL		
1	11	0.910	5.120	3	BALL		
1	12	0.910	5.120	3	BALL		
1	13	0.910	5.120	3	BALL		
1	14	0.910	5.120	3	BALL		
1	15	0.910	5.120	3	BALL		
1	16	0.910	5.120	3	BALL		
1	17	0.910	5.120	3	BALL		
1	18	0.910	5.120	3	BALL		
1	19	0.910	5.120	3	BALL		
1	20	0.910	5.120	3	BALL		
1	21	0.910	5.120	3	BALL		
1	22	0.910	5.120	3	BALL		
1	23	0.910	5.120	3	BALL		
1	24	0.910	5.120	3	BALL		
1	25	0.910	5.120	3	BALL		
1	26	0.910	5.120	3	BALL		
1	27	0.560	5.120	3	BALL		
1	29	0.775	5.120	3	BALL		
1	30	0.950	5.120	3	BALL		
1	31	0.950	5.120	3	BALL		
1	32	0.950	5.120	3	BALL		
1	33	0.950	5.120	3	BALL		
1	34	0.860	5.120	3	BALL		
1	35	0.920	5.120	3	BALL		
1	36	0.920	5.120	3	BALL		
1	37	0.920	5.120	3	BALL		
1	38	0.920	5.120	3	BALL		
1	39	0.920	5.120	3	BALL		
1	40	0.920	5.120	3	BALL		
1	41	0.920	5.120	3	BALL		
1	42	0.920	5.120	3	BALL		
1	43	0.920	5.120	3	BALL		
1	44	0.920	5.120	3	BALL		
1	45	0.920	5.120	3	BALL		
1	46	0.920	5.120	3	BALL		
1	47	0.920	5.120	3	BALL		
1	48	0.920	5.120	3	BALL		
1	49	0.920	5.120	3	BALL		
1	50	0.920	5.120	3	BALL		
1	51	0.920	5.120	3	BALL		
1	52	0.920	5.120	3	BALL		
1	53	0.920	5.120	3	BALL		
1	54	0.920	5.120	3	BALL		
1	55	0.920	5.120	3	BALL		
1	56	0.709	5.120	3	BALL		
1	57	0.664	5.120	3	BALL	26.508							a2	0.000	144.806	0.000	225.622	2.908	b	25.412	101.364	0.000	366.970	5.891	c+	6.987	108.599	0.000	240.120	3.728	c-	-1.429	108.599	0.000	176.497	2.740	d+	9.981	71.675	0.000	223.963	4.080	d-	-1.386	71.675	0.000	150.715	2.746	
1	58	0.855	5.120	3	BALL	26.147							a2	0.000	236.999	0.000	586.749	3.623	b	25.312	195.766	0.000	803.597	7.375	c+	5.317	203.758	0.000	513.166	4.411	c-	0.241	203.758	0.000	425.617	3.658	d+	7.596	168.374	0.000	425.021	4.749	d-	1.000	168.374	0.000	337.498	3.771	
1	59	0.880	5.120	3	BALL	25.765							a2	0.000	237.512	0.000	597.116	3.664	b	25.206	196.190	0.000	819.976	7.500	c+	3.547	202.554	0.000	484.164	4.204	c-	2.011	202.554	0.000	457.248	3.970	d+	5.067	167.587	0.000	394.952	4.435	d-	3.528	167.587	0.000	374.102	4.201	
1	60	0.882	5.120	3	BALL	25.383							a2	0.000	238.026	0.000	592.872	3.616	b	25.100	196.614	0.000	816.405	7.442	c+	1.777	201.350	0.000	443.164	3.887	c-	3.781	201.350	0.000	478.000	4.192	d+	2.538	166.800	0.000	354.639	4.003	d-	6.057	166.800	0.000	402.159	4.539	
1	61	0.910	5.120	3	BALL		
1	62	0.910	5.120	3	BALL		
1	63	0.910	5.120	3	BALL		
1	64	0.910	5.120	3	BALL		
1	65	0.910	5.120	3	BALL		
1	66	0.910	5.120	3	BALL		
1	67	0.910	5.120	3	BALL		
1	68	0.910	5.120	3	BALL		
1	69	0.910	5.120	3	BALL		
1	70	0.910	5.120	3	BALL		
1	71	0.910	5.120	3	BALL		
1	72	0.910	5.120	3	BALL		
1	73	0.910	5.120	3	BALL		
1	74	0.910	5.120	3	BALL		
1	75	0.917	5.120	3	BALL		
1	76	0.910	5.120	3	BALL		
1	77	0.910	5.120	3	BALL		
1	78	0.910	5.120	3	BALL		
1	79	0.910	5.120	3	BALL		
1	80	0.910	5.120	3	BALL		
1	81	0.910	5.120	3	BALL		
1	82	0.910	5.120	3	BALL		
1	83	0.910	5.120	3	BALL		
1	84	0.910	5.120	3	BALL		
1	85	0.910	5.120	3	BALL		
1	86	0.915	5.120	3	BALL		
2	1	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.270	61.485	c+	-14.433	36.552	0.000	2068.252	42.968	c-	19.991	36.552	0.000	2328.158	48.367	d+	-20.618	22.964	0.000	1929.623	41.998	d-	29.213	22.964	0.000	2288.755	49.814	
2	2	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	-12.648	38.145	0.000	2093.423	43.248	c-	18.205	38.145	0.000	2327.680	48.087	d+	-18.068	24.079	0.000	1955.298	42.398	d-	26.663	24.079	0.000	2278.880	49.414	
2	3	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.270	61.485	c+	-10.862	39.738	0.000	2118.878	43.528	c-	16.420	39.738	0.000	2327.197	47.807	d+	-15.518	25.194	0.000	1981.167	42.798	d-	24.113	25.194	0.000	2268.931	49.014	
2	4	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.270	61.485	c+	-9.077	41.331	0.000	2144.621	43.808	c-	14.635	41.331	0.000	2326.709	47.527	d+	-12.968	26.309	0.000	2007.232	43.198	d-	21.563	26.309	0.000	2258.908	48.614	
2	5	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	-7.292	42.923	0.000	2170.659	44.088	c-	12.850	42.923	0.000	2326.214	47.247	d+	-10.417	27.425	0.000	2033.493	43.598	d-	19.013	27.425	0.000	2248.808	48.214	
2	6	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	-5.507	44.516	0.000	2196.996	44.368	c-	11.065	44.516	0.000	2325.714	46.967	d+	-7.867	28.540	0.000	2059.954	43.998	d-	16.463	28.540	0.000	2238.631	47.814	
2	7	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	-3.722	46.109	0.000	2223.638	44.648	c-	9.280	46.109	0.000	2325.208	46.687	d+	-5.317	29.655	0.000	2086.617	44.398	d-	13.912	29.655	0.000	2228.376	47.414	
2	8	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	-1.937	47.702	0.000	2250.589	44.928	c-	7.495	47.702	0.000	2324.697	46.407	d+	-2.767	30.770	0.000	2113.485	44.798	d-	11.362	30.770	0.000	2218.043	47.014	
2	9	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	-0.152	49.295	0.000	2277.856	45.208	c-	5.710	49.295	0.000	2324.180	46.127	d+	-0.217	31.885	0.000	2140.560	45.198	d-	8.812	31.885	0.000	2207.631	46.614	
2	10	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	1.633	50.888	0.000	2305.443	45.488	c-	3.924	50.888	0.000	2323.656	45.847	d+	2.334	33.000	0.000	2167.843	45.598	d-	6.262	33.000	0.000	2197.138	46.214	
2	11	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.577	45.232	b	103.619	61.178	0.000	3239.270	61.485	c+	3.419	52.481	0.000	2333.357	45.768	c-	2.139	52.481	0.000	2323.128	45.567	d+	4.884	34.115	0.000	2195.339	45.998	d-	3.712	34.115	0.000	2186.565	45.814	
2	12	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	6.989	55.667	0.000	2390.186	46.328	c-	-1.431	55.667	0.000	2322.048	45.007	d+	9.984	36.345	0.000	2250.973	46.798	d-	-1.389	36.345	0.000	2165.168	45.014	
2	13	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	8.774	57.260	0.000	2419.114	46.608	c-	-3.216	57.260	0.000	2321.499	44.727	d+	12.534	37.460	0.000	2279.118	47.198	d-	-3.939	37.460	0.000	2154.344	44.614	
2	14	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	10.559	58.853	0.000	2448.393	46.888	c-	-5.001	58.853	0.000	2320.944	44.447	d+	15.084	38.575	0.000	2307.484	47.598	d-	-6.489	38.575	0.000	2143.435	44.214	
2	15	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	12.344	60.446	0.000	2478.029	47.168	c-	-6.786	60.446	0.000	2320.381	44.167	d+	17.635	39.690	0.000	2336.075	47.998	d-	-9.039	39.690	0.000	2132.439	43.814	
2	16	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	14.129	62.039	0.000	2508.028	47.448	c-	-8.571	62.039	0.000	2319.812	43.887	d+	20.185	40.805	0.000	2364.892	48.398	d-	-11.589	40.805	0.000	2121.356	43.414	
2	17	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	15.914	63.632	0.000	2538.398	47.728	c-	-10.357	63.632	0.000	2319.235	43.607	d+	22.735	41.920	0.000	2393.939	48.798	d-	-14.140	41.920	0.000	2110.185	43.014	
2	18	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	17.700	65.225	0.000	2569.145	48.008	c-	-12.142	65.225	0.000	2318.652	43.327	d+	25.285	43.035	0.000	2423.219	49.198	d-	-16.690	43.035	0.000	2098.925	42.614	
2	19	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	19.485	66.818	0.000	2600.275	48.288	c-	-13.927	66.818	0.000	2318.062	43.047	d+	27.835	44.150	0.000	2452.734	49.598	d-	-19.240	44.150	0.000	2087.574	42.214	
2	20	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.576	45.232	b	103.619	61.178	0.000	3239.269	61.485	c+	21.270	68.410	0.000	2631.798	48.568	c-	-15.712	68.410	0.000	2317.463	42.767	d+	30.385	45.265	0.000	2482.487	49.998	d-	-21.790	45.265	0.000	2076.131	41.814	
2	21	0.910	5.120	3	BALL	308.549							a2	0.000	87.397	0.000	2649.578	45.232	b	103.619	61.178	0.000	3239.272	61.485	c+	23.055	70.003	0.000	2663.722	48.848	c-	-17.497	70.003	0.000	2316.860	42.487	d+	32.936	46.380	0.000	2512.483	50.398	d-	-24.340	46.380	0.000	2064.598	41.414	
2	22	0.895	5.120	3	BALL	301.605							a2	0.000	81.680	0.000	2490.590	43.555	b	101.693	57.176	0.000	3075.257	59.269	c+	25.130	70.306	0.000	2589.934	47.438	c-	-19.572	70.306	0.000	2212.822	40.531	d+	35.900	46.764	0.000	2451.291	49.102	d-	-27.304	46.764	0.000	1963.735	39.336	
2	23	0.895	5.120	3	BALL	294.660							a2	0.000	75.962	0.000	2376.644	42.552	b	99.768	53.174	0.000	2962.964	57.968	c+	25.420	69.016	0.000	2524.668	46.480	c-	-19.862	69.016	0.000	2144.618	39.483	d+	36.314	46.032	0.000	2398.036	48.163	d-	-27.718	46.032	0.000	1905.405	38.269	
2	24	0.895	5.120	3	BALL	287.716							a2	0.000	70.245	0.000	2267.881	41.549	b	97.842	49.172	0.000	2853.970	56.668	c+	25.709	67.725	0.000	2460.068	45.522	c-	-20.151	67.725	0.000	2077.109	38.435	d+	36.728	45.300	0.000	2345.065	47.224	d-	-28.132	45.300	0.000	1847.386	37.202	
2	25	0.895	5.120	3	BALL	280.771							a2	0.000	64.528	0.000	2163.955	40.546	b	95.917	45.170	0.000	2748.133	55.367	c+	25.999	66.435	0.000	2396.123	44.564	c-	-20.441	66.435	0.000	2010.285	37.388	d+	37.142	44.568	0.000	2292.376	46.285	d-	-28.546	44.568	0.000	1789.676	36.135	
2	26	0.895	5.120	3	BALL	273.827							a2	0.000	58.811	0.000	2064.544	39.544	b	93.991	41.167	0.000	2645.310	54.067	c+	26.289	65.144	0.000	2332.816	43.606	c-	-20.731	65.144	0.000	1944.128	36.340	d+	37.556	43.837	0.000	2239.960	45.347	d-	-28.960	43.837	0.000	1732.265	35.069	
2	27	0.895	5.120	3	BALL	266.883							a2	0.000	53.093	0.000	1969.367	38.541	b	92.065	37.165	0.000	2545.382	52.767	c+	26.579	63.854	0.000	2270.146	42.648	c-	-21.021	63.854	0.000	1878.636	35.293	d+	37.969	43.105	0.000	2187.823	44.408	d-	-29.374	43.105	0.000	1675.158	34.002	
2	28	0.892	5.120	3	BALL	259.938							a2	0.000	47.376	0.000	1872.011	37.415	b	90.140	33.163	0.000	2440.215	51.298	c+	26.868	62.563	0.000	2200.875	41.553	c-	-21.310	62.563	0.000	1807.861	34.133	d+	38.383	42.373	0.000	2128.970	43.327	d-	-29.788	42.373	0.000	1613.055	32.827	
2	29	0.920	5.120	3	BALL	243.793							a2	0.000	34.084	0.000	2284.579	46.273	b	85.663	23.859	0.000	3001.987	63.670	c+	26.054	58.236	0.000	2864.843	51.564	c-	-20.496	58.236	0.000	2339.589	42.110	d+	37.221	39.743	0.000	2728.986	53.832	d-	-28.625	39.743	0.000	2051.066	40.459	
2	30	0.920	5.120	3	BALL	234.542							a2	0.000	26.468	0.000	2123.328	44.517	b	83.098	18.528	0.000	2828.247	61.394	c+	24.953	55.189	0.000	2711.994	49.585	c-	-19.395	55.189	0.000	2219.387	40.578	d+	35.647	37.839	0.000	2600.333	51.757	d-	-27.052	37.839	0.000	1960.584	39.023	
2	31	0.920	5.120	3	BALL	225.291							a2	0.000	18.852	0.000	1972.658	42.761	b	80.533	13.196	0.000	2662.298	59.117	c+	23.851	52.143	0.000	2563.829	47.605	c-	-18.293	52.143	0.000	2102.867	39.046	d+	34.073	35.934	0.000	2473.957	49.681	d-	-25.478	35.934	0.000	1871.704	37.587	
2	32	0.920	5.120	3	BALL	216.041							a2	0.000	11.236	0.000	1831.562	41.005	b	77.967	7.865	0.000	2503.628	56.840	c+	22.750	49.096	0.000	2420.135	45.626	c-	-17.192	49.096	0.000	1989.865	37.514	d+	32.499	34.030	0.000	2349.800	47.606	d-	-23.904	34.030	0.000	1784.385	36.151	
2	33	0.920	5.120	3	BALL	206.790							a2	0.000	3.619	0.000	1699.153	39.250	b	75.402	2.534	0.000	2351.765	54.563	c+	21.648	46.050	0.000	2280.712	43.646	c-	-16.090	46.050	0.000	1880.220	35.982	d+	30.926	32.126	0.000	2227.802	45.530	d-	-22.330	32.126	0.000	1698.583	34.714	
2	34	0.920	5.120	3	BALL	197.539							a2	0.000	6.528	0.000	1642.454	37.494	b	72.837	5.392	0.000	2279.865	52.286	c+	20.546	48.859	0.000	2207.528	41.667	c-	-14.988	48.859	0.000	1825.177	34.450	d+	29.352	34.910	0.000	2153.646	43.455	d-	-20.757	34.910	0.000	1649.288	33.278	
2	35	0.920	5.120	3	BALL	179.037							a2	0.000	31.407	0.000	1657.295	33.982	b	67.707	25.943	0.000	2271.383	47.733	c+	18.343	65.081	0.000	2172.106	37.707	c-	-12.785	65.081	0.000	1807.939	31.385	d+	26.205	48.968	0.000	2083.482	39.304	d-	-17.609	48.968	0.000	1611.796	30.406	
2	36	0.920	5.120	3	BALL	169.787							a2	0.000	43.847	0.000	1666.054	32.226	b	65.142	36.218	0.000	2266.536	45.456	c+	17.242	73.192	0.000	2151.973	35.728	c-	-11.684	73.192	0.000	1798.142	29.853	d+	24.631	55.997	0.000	2044.608	37.228	d-	-16.035	55.997	0.000	1591.024	28.970	
2	37	0.920	5.120	3	BALL	160.536							a2	0.000	56.286	0.000	1675.933	30.470	b	62.577	46.494	0.000	2261.201	43.179	c+	16.140	81.303	0.000	2129.916	33.748	c-	-10.582	81.303	0.000	1787.409	28.321	d+	23.057	63.026	0.000	2002.827	35.153	d-	-14.462	63.026	0.000	1568.698	27.533	
2	38	0.920	5.120	3	BALL	151.285							a2	0.000	68.726	0.000	1687.161	28.714	b	60.011	56.769	0.000	2255.302	40.902	c+	15.038	89.414	0.000	2105.643	31.769	c-	-9.480	89.414	0.000	1775.598	26.789	d+	21.483	70.055	0.000	1957.799	33.078	d-	-12.888	70.055	0.000	1544.637	26.097	
2	39	0.920	5.120	3	BALL	142.034							a2	0.000	81.165	0.000	1700.033	26.959	b	57.446	67.044	0.000	2248.744	38.625	c+	13.937	97.525	0.000	2078.803	29.789	c-	-8.379	97.525	0.000	1762.538	25.257	d+	19.910	77.084	0.000	1909.131	31.002	d-	-11.314	77.084	0.000	1518.631	24.661	
2	40	0.920	5.120	3	BALL	132.783							a2	0.000	93.605	0.000	1714.941	25.203	b	54.881	77.320	0.000	2241.410	36.349	c+	12.835	105.637	0.000	2048.969	27.809	c-	-7.277	105.637	0.000	1748.020	23.725	d+	18.336	84.113	0.000	1856.363	28.927	d-	-9.741	84.113	0.000	1490.435	23.225	
2	41	0.920	5.120	3	BALL	123.532							a2	0.000	106.045	0.000	1732.417	23.447	b	52.316	87.595	0.000	2233.166	34.072	c+	11.733	113.748	0.000	2015.619	25.830	c-	-6.176	113.748	0.000	1731.797	22.193	d+	16.762	91.142	0.000	1798.963	26.851	d-	-8.167	91.142	0.000	1459.766	21.788	
2	42	0.920	5.120	3	BALL	105.031							a2	0.000	130.924	0.000	1778.200	19.935	b	47.186	108.146	0.000	2213.076	29.518	c+	9.530	129.970	0.000	1935.466	21.871	c-	-3.972	129.970	0.000	1692.790	19.129	d+	13.615	105.200	0.000	1667.523	22.700	d-	-5.019	105.200	0.000	1389.528	18.916	
2	43	0.920	5.120	3	BALL	95.780							a2	0.000	143.364	0.000	1809.037	18.179	b	44.621	118.421	0.000	2200.703	27.241	c+	8.429	138.081	0.000	1886.758	19.891	c-	-2.871	138.081	0.000	1669.088	17.596	d+	12.041	112.229	0.000	1591.820	20.625	d-	-3.446	112.229	0.000	1349.077	17.480	
2	44	0.920	5.120	3	BALL	86.529							a2	0.000	155.803	0.000	1847.935	16.424	b	42.055	128.697	0.000	2186.250	24.965	c+	7.327	146.192	0.000	1830.509	17.912	c-	-1.769	146.192	0.000	1641.718	16.064	d+	10.467	119.258	0.000	1508.038	18.549	d-	-1.872	119.258	0.000	1304.308	16.043	
2	45	0.920	5.120	3	BALL	77.278							a2	0.000	168.243	0.000	1898.532	14.668	b	39.490	138.972	0.000	2169.145	22.688	c+	6.225	154.304	0.000	1764.821	15.932	c-	-0.667	154.304	0.000	1609.754	14.532	d+	8.893	126.288	0.000	1414.809	16.474	d-	-0.298	126.288	0.000	1254.491	14.607	
2	46	0.920	5.120	3	BALL	68.027							a2	0.000	180.682	0.000	1967.037	12.912	b	36.925	149.247	0.000	2148.584	20.411	c+	5.124	162.415	0.000	1687.100	13.952	c-	0.434	162.415	0.000	1571.934	13.000	d+	7.320	133.317	0.000	1310.441	14.398	d-	1.276	133.317	0.000	1198.722	13.171	
2	47	0.920	5.120	3	BALL	58.777							a2	0.000	193.122	0.000	928.663	8.702	b	34.360	159.523	0.000	1196.919	14.145	c+	4.022	170.526	0.000	847.748	9.339	c-	1.536	170.526	0.000	811.992	8.945	d+	5.746	140.346	0.000	727.379	9.612	d-	2.849	140.346	0.000	692.655	9.153	
2	48	0.920	5.120	3	BALL	49.526							a2	0.000	205.562	0.000	866.273	7.332	b	31.795	169.798	0.000	1117.415	12.369	c+	2.921	178.637	0.000	747.684	7.795	c-	2.637	178.637	0.000	743.380	7.750	d+	4.172	147.375	0.000	629.254	7.993	d-	4.423	147.375	0.000	632.381	8.033	
2	49	0.920	5.120	3	BALL	40.275							a2	0.000	218.001	0.000	788.922	5.963	b	29.230	180.074	0.000	1026.379	10.593	c+	1.819	186.748	0.000	635.597	6.251	c-	3.739	186.748	0.000	666.524	6.555	d+	2.599	154.404	0.000	522.887	6.374	d-	5.997	154.404	0.000	567.045	6.913	
2	50	0.760	5.120	3	BALL	31.024							a2	0.000	230.441	0.000	579.890	3.857	b	26.664	190.349	0.000	773.559	7.405	c+	0.717	194.859	0.000	427.618	3.953	c-	4.841	194.859	0.000	486.960	4.501	d+	1.025	161.433	0.000	341.966	3.994	d-	7.571	161.433	0.000	416.531	4.864	
3	1	0.920	5.120	3	BALL		
3	2	0.920	5.120	3	BALL		
3	3	0.920	5.120	3	BALL		
3	4	0.920	5.120	3	BALL		
3	5	0.920	5.120	3	BALL		
3	6	0.920	5.120	3	BALL		
3	7	0.920	5.120	3	BALL		
3	8	0.920	5.120	3	BALL		
3	9	0.920	5.120	3	BALL		
3	10	0.920	5.120	3	BALL		
3	11	0.920	5.120	3	BALL		
3	12	0.920	5.120	3	BALL		
3	13	0.920	5.120	3	BALL		
3	14	0.920	5.120	3	BALL		
3	15	0.920	5.120	3	BALL		
3	16	0.920	5.120	3	BALL		
3	17	0.920	5.120	3	BALL		
3	18	0.920	5.120	3	BALL		
3	19	0.920	5.120	3	BALL		
3	20	0.920	5.120	3	BALL		
3	21	0.920	5.120	3	BALL		
3	22	0.920	5.120	3	BALL		
3	23	0.920	5.120	3	BALL		
3	24	0.920	5.120	3	BALL		
3	25	0.920	5.120	3	BALL		
3	26	0.920	5.120	3	BALL		
3	27	0.920	5.120	3	BALL		
3	28	0.920	5.120	3	BALL		
3	29	0.920	5.120	3	BALL		
3	30	0.920	5.120	3	BALL		
3	31	0.614	5.120	3	BALL		

'-----Longi."LIQ 2"
----------------------------------------------------------------
Longitudinal stiffeners for: "Midship section"
LIQ  2 At T_bal
----------------------------------------------------------------
Panel	Stiffener	Spacing	Span	Comp.	Load	ps	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	Case	pw	SigX1	Tau1	W Load	Ash Load	
1	2	0.910	5.120	2	LIQ		
1	3	0.910	5.120	2	LIQ		
1	4	0.910	5.120	2	LIQ		
1	5	0.910	5.120	2	LIQ		
1	6	0.910	5.120	2	LIQ		
1	7	0.910	5.120	2	LIQ		
1	8	0.910	5.120	2	LIQ		
1	9	0.910	5.120	2	LIQ		
1	10	0.910	5.120	2	LIQ		
1	11	0.910	5.120	2	LIQ		
1	12	0.910	5.120	2	LIQ		
1	13	0.910	5.120	2	LIQ		
1	14	0.910	5.120	2	LIQ		
1	15	0.910	5.120	2	LIQ		
1	16	0.910	5.120	2	LIQ		
1	17	0.910	5.120	2	LIQ		
1	18	0.910	5.120	2	LIQ		
1	19	0.910	5.120	2	LIQ		
1	20	0.910	5.120	2	LIQ		
1	21	0.910	5.120	2	LIQ		
1	22	0.910	5.120	2	LIQ		
1	23	0.910	5.120	2	LIQ		
1	24	0.910	5.120	2	LIQ		
1	25	0.910	5.120	2	LIQ		
1	26	0.910	5.120	2	LIQ		
1	27	0.560	5.120	2	LIQ		
1	29	0.775	5.120	2	LIQ		
